mintemp,maxtemp,rainfall,evaporation,sunshine,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,cloud9am,cloud3pm,temp9am,temp3pm,raintoday,risk_mm,raintomorrow,year,month,day_of_year
11.3,20.2,0,5,7.1,NW,50,NNW,WNW,26,26,89,60,1003.8,1002.9,8,6,13.4,17.8,No,0,No,2011,3,83
10.7,22.7,0,6,6.3,NW,39,NW,SSW,22,9,75,44,1008.6,1009.6,1,7,14.2,20.7,No,0,No,2011,3,84
10.4,19.7,0,3,8.1,SE,33,S,ESE,15,11,63,48,1020.5,1019.9,5,7,13.6,18.4,No,0,No,2011,3,85
6.6,21.2,0,3.2,10.2,E,26,SE,SE,7,9,70,47,1025.7,1023.8,1,6,12.9,19.4,No,0,No,2011,3,86
4.5,22.7,0,4,9.5,N,28,ESE,NNE,6,13,92,45,1027.6,1024.8,5,1,9.6,20.8,No,0,No,2011,3,87
8.4,24.8,0,1.6,7.9,NW,31,NA,W,0,11,94,40,1025.4,1021.4,4,3,13.5,23.5,No,0,No,2011,3,88
8.6,26,0,8,8.1,WNW,61,NA,NW,0,22,87,44,1020.2,1015.8,NA,3,15,24.2,No,0.2,No,2011,3,89
9.5,20,0.2,4,5.1,E,31,SSE,NE,11,17,83,55,1022.8,1021.8,NA,2,13.3,19.6,No,0,No,2011,3,90
4.2,20.9,0,2.2,7.6,WSW,15,W,SSW,4,6,82,37,1021.4,1016.7,3,4,11.9,20.4,No,0,No,2011,5,121
9.6,16.2,0,1.8,0.2,NNW,20,NA,NNW,0,9,83,72,1017.9,1015.9,6,7,12.7,14.8,No,0,No,2011,5,122
4.4,18.2,0,1.2,2.5,S,24,NA,SSW,0,9,90,48,1017.3,1015.4,6,7,10.3,16.5,No,0,No,2011,5,123
0.8,19.1,0,1.8,5.4,NW,31,NA,NW,0,11,77,43,1019.4,1016.5,NA,3,9.9,16.9,No,0,No,2011,5,124
-1.8,16.1,0,1.2,6.9,SSW,39,SE,SE,13,9,56,28,1023.9,1022.3,1,1,10,16,No,0,No,2011,5,125
-4,14.8,0,3.8,8.6,SE,13,SE,WSW,7,6,76,46,1025.7,1021.1,3,NA,5.2,14.3,No,0.2,No,2011,5,126
-3.2,17.4,0.2,1.6,8,NNW,28,SSW,NW,2,13,86,43,1020.4,1015.4,1,NA,4.9,17,No,0,No,2011,5,127
-3.3,17.2,0,2.4,8.4,WNW,43,SSW,WNW,6,24,81,35,1015,1011.4,1,4,4.7,15.2,No,0,No,2011,5,128
-3.1,14.7,0,2.6,NA,S,43,SSE,S,9,20,65,36,1017.8,1015.9,1,3,7.8,13.7,No,0,No,2011,5,129
-2,15.2,0,2.6,9.6,NW,30,S,NNW,13,6,60,30,1018.2,1013.7,NA,NA,7.9,14.2,No,0.2,No,2011,5,130
2.7,10.7,0.2,2.6,6.7,WNW,69,NNW,W,26,41,86,38,1009,1006.9,8,1,4.5,8.8,No,0,No,2011,5,131
-5.3,12.6,0,2.6,8,WNW,44,NA,NW,0,26,66,41,1012.2,1010.2,1,1,5.1,10.7,No,0.2,No,2011,5,132
4.8,14.7,0.2,2.6,9.6,WNW,54,NW,WNW,17,28,72,43,1012.8,1009.8,3,6,9.9,12.6,No,0,No,2011,5,133
-3.4,14,0,2.8,9.6,W,52,NW,SSW,20,24,54,21,1017.1,1018.8,1,NA,7.7,11.4,No,0,No,2011,5,134
-6.9,14,0,4,8.5,NNW,30,NNW,NNW,6,15,84,41,1030.1,1027.7,0,NA,1.7,13.1,No,0,No,2011,5,135
-0.3,16.5,0,1.2,7.9,S,28,SW,S,2,6,82,35,1031.8,1028.1,7,0,6.1,16.1,No,0,No,2011,5,137
-3.7,17.8,0,1.8,7.4,NW,22,NNW,NW,6,13,86,27,1033.2,1029.7,1,6,3.9,16.8,No,0,No,2011,5,138
-2.9,18.6,0,1.4,7.3,NW,26,NA,NW,0,11,82,29,1032.4,1028.6,5,NA,3.9,17.5,No,0,No,2011,5,139
-3.2,15.5,0,1.6,3.5,NA,NA,NA,SW,0,4,86,43,NA,1025.9,6,6,4,15.1,No,0,No,2011,5,140
-4,19.2,0,1.4,NA,NA,NA,NNW,NW,4,19,85,43,1026.8,1022.8,3,NA,3.2,18.4,No,0,No,2011,5,141
0.3,20.8,0,NA,5.9,N,43,NA,NNW,0,22,88,45,1021.6,1014.5,NA,7,7.7,19,No,10.4,Yes,2011,5,142
7.7,14,10.4,1.6,2.2,NW,57,NNW,NNW,26,28,93,92,1004.9,1001.6,8,8,11.4,11.4,Yes,1,No,2011,5,143
7.8,15.1,1,2,5.1,NA,NA,SSW,S,4,19,87,49,1006.4,1006.7,6,5,9.5,12.8,No,0,No,2011,5,144
5.9,13.3,0,1.4,7.8,S,54,S,S,35,33,56,47,1015.9,1014.5,1,2,7.9,11.9,No,0,No,2011,5,145
-1.9,14.5,0,3.2,9.2,NA,NA,NW,NW,6,17,79,46,1019.5,1016.7,0,1,7.4,13.8,No,0,No,2011,5,146
-1.6,14.4,0,2,8.5,WNW,22,ESE,NNW,9,7,91,41,1021.1,1018.8,6,NA,4,13.9,No,0,No,2011,5,147
-0.6,16.8,0,1.2,7,E,15,ESE,E,6,7,88,49,1027.1,1023.2,3,6,5.5,14.8,No,0,No,2011,5,149
3.1,14,0,1.6,1.9,S,35,SSE,S,13,26,69,56,NA,1022.8,7,7,9.4,12.5,No,0,No,2011,5,150
8.6,17.9,0,2,8.6,ESE,46,S,SE,15,22,73,59,1025,1023.8,5,2,13,15,No,0,No,2011,5,151
3,16.4,0,2.2,2.5,E,30,NA,SSE,0,13,85,54,1029.4,1027.9,5,7,11.2,14.7,No,0,No,2011,6,152
5.9,17.7,0,1.2,5.4,E,52,SE,NE,11,9,81,52,1028.9,1025,NA,4,10.2,14.6,No,0,No,2011,6,153
2.5,16.5,0,2.2,6.6,WNW,41,NA,WNW,0,24,99,40,1021.4,1016.9,8,3,5.8,15.8,No,NA,NA,2011,6,154
2,11.9,0,2.6,3.5,WNW,39,NW,ESE,24,4,81,60,1016.2,1017,6,6,8.3,9.3,No,0,No,2011,6,157
-3.8,9,0,1,4,WNW,54,N,NW,17,20,90,53,1017.5,1014.3,3,6,3,7,No,0.6,No,2011,6,158
-1.1,8.2,0.6,2.4,9.4,NW,52,WNW,WNW,24,33,59,47,1015,1014.1,1,NA,4,6.4,No,0,No,2011,6,159
1.7,13,0,1.8,4,SW,39,NW,WSW,19,17,74,41,1015.4,1013.5,4,7,6.3,11.4,No,0,No,2011,6,160
3.6,13.1,0,2.2,4.8,S,50,NNE,S,6,22,69,56,1018.9,1020.1,7,2,7.6,11,No,0,No,2011,6,161
-0.3,13.8,0,1,8.3,SSE,39,SE,S,4,20,77,44,1028.4,1026.4,5,3,6.6,13,No,0,No,2011,6,162
-0.8,13.8,0,1.8,2.6,SSE,46,SSE,SE,11,19,76,46,1029.3,1026.5,3,5,8.8,12.5,No,0,No,2011,6,163
3.7,14.2,0,2,6.1,ESE,46,S,ESE,17,17,63,56,1027.7,1024.8,2,8,8.8,12.8,No,0,No,2011,6,164
2.5,14.3,0,2.8,5.1,SSE,50,SSE,SE,24,20,64,47,1026.5,1025,7,5,10.4,11.8,No,0,No,2011,6,165
5.3,14.7,0,2,NA,SSE,52,SSE,SE,15,28,57,68,1027.8,1026,3,8,11.4,13,No,0,No,2011,6,166
3.8,14.9,0,NA,5.8,NNE,20,NNE,NNE,6,7,87,42,1025,1018.7,NA,1,8.5,13.7,No,0,No,2011,6,167
-1.9,12,0,1.8,6.5,WNW,50,WNW,WNW,31,31,57,57,1009.5,1007.7,4,NA,9.6,9.7,No,0,No,2011,6,168
2.2,11.9,0,3.2,NA,NW,48,NNW,NW,20,24,65,57,1013.4,1011.9,NA,NA,7.4,11.3,No,0,No,2011,6,169
0.9,15.3,0,NA,7,NNW,46,NNW,NNW,20,26,72,60,1016,1013.3,4,8,9.5,11.7,No,0,No,2011,6,171
7.4,10.9,0,NA,1.4,NNW,72,NW,NNW,35,26,58,82,1002.9,1003.1,2,5,10.9,6.1,No,7.8,Yes,2011,6,172
3,10.4,7.8,2.6,NA,NW,50,NNW,NW,30,24,78,62,1011.4,1012.6,4,5,5.5,6.7,Yes,0,No,2011,6,173
4.9,14.8,0,NA,8.7,NW,46,NW,NW,22,22,71,45,1017.7,1019.4,NA,1,10.4,13.5,No,0,No,2011,6,174
-2.6,14,0,2,6.8,ESE,13,ESE,SW,9,2,98,52,1028.2,1026.4,8,NA,1.5,13.3,No,0,No,2011,6,175
-4.5,14.2,0.2,1.8,8,NW,35,NA,NW,0,19,97,41,1029,1025.9,1,3,0,13.3,No,0,No,2011,6,177
-3.7,14.5,0,1.8,8.2,ENE,22,ESE,E,7,11,89,39,1037.5,1034,3,1,1.9,14.2,No,0.2,No,2011,6,179
-3.7,14.6,0.2,1.6,NA,NE,30,S,ENE,2,11,94,45,1040.1,1037.8,2,2,4.3,13.6,No,0,No,2011,6,180
2.2,14.1,0,0.6,6.1,NNE,31,SW,ENE,4,13,90,49,1040.2,1036.1,7,4,7.4,13.4,No,0,No,2011,6,181
-5.5,9.4,0,2,2.8,SW,15,N,WSW,2,7,97,63,1035,1030.3,8,NA,1,9,No,0,No,2011,7,182
-2.7,16.6,0,0,3.8,NW,43,NA,NW,0,20,92,51,1021.4,1017.6,7,6,4.7,14.4,No,10.4,Yes,2011,7,184
4.7,13.5,10.4,3.2,7.3,NW,80,NNW,WNW,26,33,92,39,1014.7,1011,4,4,9.6,12.5,Yes,2.8,Yes,2011,7,185
4.2,9.1,2.8,4.6,5.1,WNW,83,NW,WNW,30,44,84,60,1008.9,1006,7,7,5.9,8,Yes,0.6,No,2011,7,186
4.9,10.2,0.6,2.4,4,WNW,65,NW,WNW,31,37,79,62,1010.2,1008.5,7,7,6.8,8.3,No,3,Yes,2011,7,187
3.4,10.5,3,1,8.5,NW,61,WNW,WNW,24,26,73,39,1011.2,1015.9,4,2,6.9,9.7,Yes,0,No,2011,7,188
-4.7,9.3,0,3,5.9,NNW,44,N,NNW,6,30,99,53,1024.7,1021.1,8,1,-0.2,8.3,No,0,No,2011,7,189
-0.2,10.5,0,0.8,9.1,WNW,52,NW,NW,24,28,71,51,1020.3,1018.9,1,NA,5.8,9.4,No,0.2,No,2011,7,190
3,9.1,0.2,2.8,6.1,NW,76,NW,WNW,39,35,58,55,1014.7,1011.6,4,NA,6.6,6.9,No,0.4,No,2011,7,191
1.8,10.3,0.4,2.6,9.3,WNW,48,NNW,NNW,9,28,58,50,1019.3,1019.9,0,NA,5.2,9.3,No,0,No,2011,7,192
1.8,12.2,0,2.8,8.7,NW,57,N,NW,20,33,68,50,1023.9,1021,1,1,5.7,9.2,No,0,No,2011,7,193
3,11,0,2.4,2.1,WNW,46,NW,NW,9,31,65,75,1020.3,1018.8,6,7,6.8,7.2,No,NA,NA,2011,7,194
-6.3,12.2,0.2,0.8,NA,ENE,26,NA,NE,2,7,88,37,1037.2,1033.8,0,1,1.1,11.8,No,0,No,2011,7,196
-1.5,12.2,0,NA,6,E,26,N,NE,2,11,84,62,1033.2,1028.7,8,8,4.7,11,No,0,No,2011,7,197
-1.4,14.1,0,2.8,3.4,E,11,SSW,WSW,6,7,97,63,1026.5,1022.6,4,8,3,11.6,No,1,No,2011,7,198
3,11.8,1,1.4,4.6,NW,39,NA,WNW,15,24,89,50,1019.5,1016.9,7,1,8.1,11.6,No,2.4,Yes,2011,7,199
0.6,15.5,0.4,1.6,7.6,SSE,46,S,SSE,28,20,72,35,1020,1019.2,5,3,10.3,15.1,No,0,No,2011,7,201
3.7,11.5,0,3.2,0.6,SSE,43,SSE,SSE,20,24,72,60,1021.7,1020.8,6,3,8.5,10.3,No,0,No,2011,7,202
4.7,12.1,0,1.4,3.4,SSE,44,S,SE,20,17,72,51,1023.4,1022.3,4,8,7.9,10.6,No,0,No,2011,7,203
-1.7,13.6,0,2,9.6,SSW,31,ESE,SE,6,2,78,35,1024,1021.2,1,1,6.2,13.1,No,0,No,2011,7,204
0.9,12.3,3.2,0.8,1.8,NW,33,NNW,NW,9,24,91,NA,1018.2,1016.5,7,8,6.6,8.9,Yes,0.4,No,2011,7,206
4.6,14,0.4,1.4,8.9,NA,NA,NW,WNW,15,22,76,36,1021.2,1020.3,1,1,8.9,13.2,No,0,No,2011,7,207
-3.9,14.3,0,1.8,8.8,WNW,19,E,NW,6,13,80,32,1029.9,1028.4,0,NA,4.5,13.6,No,0,No,2011,7,208
-6.3,15.2,0,2,8.4,NNW,35,N,NW,7,28,96,31,1030.8,1026.7,1,NA,-1,14.5,No,0.2,No,2011,7,209
-8,15.1,0.2,2.6,7.9,NA,NA,NNW,NW,6,13,96,33,1029.6,1025.3,1,NA,-1.2,14.5,No,0,No,2011,7,210
-6.7,15.7,0,1.4,6.9,NW,37,N,NW,2,24,86,31,1026.3,1022,4,1,0.5,15.1,No,0,No,2011,7,211
-1.9,15.3,0,1.8,NA,NNW,39,NA,NW,0,20,87,60,1023.7,1021.3,7,6,3.1,12.6,No,0.2,No,2011,7,212
-2.6,17.5,0.2,NA,8.2,NW,30,N,NNW,7,20,96,40,1024.4,1020.3,8,1,2.1,16.9,No,0,No,2011,8,213
0.6,17.8,0,1.6,4.9,NA,NA,NA,NNW,0,13,92,38,1025.7,1022.7,7,6,4.9,16.5,No,0,No,2011,8,214
1.9,21.3,0,1.4,9.5,NW,31,NA,NW,0,17,69,26,1024.7,1023.5,1,1,10,20.7,No,0,No,2011,8,215
0.3,20.8,0,2.6,9,NW,37,NA,NW,0,22,78,31,1029.3,1026,1,1,8.6,20.1,No,0,No,2011,8,216
-1.2,19.5,0,2.6,9.4,NA,NA,NA,WNW,0,31,81,39,1026.8,1022.3,1,1,7.8,17.3,No,0,No,2011,8,217
7.5,12.9,0,3.6,1.6,NNE,37,NNW,N,15,22,55,92,1021.7,1018.6,8,8,12.9,10.1,No,7.2,Yes,2011,8,218
0.6,14.4,7.2,1.2,5.4,W,44,NNE,NW,4,19,99,33,1018.4,1013.8,8,NA,5,12.4,Yes,0.4,No,2011,8,219
-1.5,11.4,0.4,2,3.1,NA,NA,S,NNW,2,19,94,59,1011.8,1008.7,8,4,5.7,10.6,No,0.2,No,2011,8,220
-1.8,12.8,0.2,1.2,7.1,WNW,35,NA,WNW,0,24,92,40,1009.3,1006.3,8,4,3.5,12.4,No,0,No,2011,8,221
-3.3,13.3,0,2.2,6.6,WNW,46,NNW,WNW,22,24,81,53,1007.8,1005.7,2,8,7.8,10.7,No,1.2,Yes,2011,8,222
4.1,11.3,1.2,2.4,0,NA,NA,N,SSE,11,13,94,86,1010.5,1011.1,8,8,6.7,10.4,Yes,5.6,Yes,2011,8,223
1.8,15.4,5.6,0.8,9,S,26,SSE,NW,7,6,76,37,1021.4,1019.4,3,NA,8.2,14.2,Yes,0.2,No,2011,8,224
-2,12.5,0.2,2.2,3.7,NA,NA,NA,WNW,0,7,97,59,1025.2,1023.4,8,5,4.4,12.4,No,0,No,2011,8,225
0,16.5,0,1.2,7.6,E,26,NA,N,0,11,88,39,1027.7,1024.2,4,3,6.1,15.3,No,0,No,2011,8,226
-1.4,14.4,0,2.2,4,W,17,S,WNW,9,9,86,45,1027.6,1023.1,7,8,5.5,13.8,No,0,No,2011,8,227
5.2,18,0,1.8,7.6,NA,NA,S,N,6,13,83,35,1022.6,1018.4,7,5,9.4,16.4,No,1.2,Yes,2011,8,228
5.1,10.9,1.2,2.4,0,NE,33,NA,NE,0,15,95,89,1017.5,1011.9,8,8,8.4,10.3,Yes,31.8,Yes,2011,8,229
6.3,9.5,31.8,2.2,0.4,WNW,52,WNW,NW,28,26,74,72,1009.5,1009.9,8,7,6.5,8.3,Yes,2,Yes,2011,8,230
4.2,15.4,2,1.2,6.3,NA,NA,S,ESE,20,24,87,76,1018.8,1021.8,6,3,9.3,13.1,Yes,0.8,No,2011,8,231
3.6,14.8,0.8,3,9.4,SE,41,SSE,SE,19,22,58,52,1032.2,1031.3,1,1,10.6,14.4,No,0,No,2011,8,232
3.2,15.8,0,2.4,4.9,ENE,33,SSE,E,11,13,78,45,1037.7,1035.9,8,2,9.6,15,No,0,No,2011,8,233
-1.1,14.7,0,2.4,2.6,NA,NA,SSE,ENE,9,13,79,50,1040.6,1037.9,7,6,7.4,13.7,No,0,No,2011,8,234
3,16.8,0,1.8,8.3,N,24,S,NNW,9,11,73,44,1037.9,1032.2,8,NA,9,16,No,0,No,2011,8,235
-2.5,20.1,0,2.4,9.9,NNW,26,S,NNW,4,15,89,36,1031.6,1026.7,1,0,5.9,19.4,No,0,No,2011,8,236
-3.1,19.1,0,2.8,8.7,NA,NA,NNE,NNW,7,28,97,38,1026.7,1022.1,3,NA,3.9,17.9,No,0,No,2011,8,237
1.1,20.8,0,4,9.8,NW,43,WSW,NW,4,28,74,30,1026.6,1022.9,1,NA,10,19.8,No,0,No,2011,8,238
-0.1,20.5,0,4,8.6,W,33,NA,NW,0,19,76,30,1023.2,1019.1,1,6,9.5,19.7,No,0,No,2011,8,239
2.3,17.6,0,3,8.9,NA,NA,N,NW,7,30,88,28,1022.3,1018.2,7,NA,9.1,15.8,No,0,No,2011,8,240
2.6,17.9,0,4.6,8.7,WNW,44,WNW,WNW,15,31,56,31,1019.2,1017.7,5,1,11.5,16.2,No,0,No,2011,8,241
3.7,16.2,0,3.4,7,NNW,37,E,NW,2,19,78,37,1024.3,1021.6,7,NA,8.6,14.8,No,0,No,2011,8,242
0.5,16.9,0,3,9,NA,NA,NA,NNW,0,19,78,45,1025.5,1022.2,1,NA,7.8,16.1,No,0,No,2011,8,243
2.5,19.2,0,2.6,9.3,E,26,S,SE,6,11,73,32,1025.4,1022.6,2,NA,11.3,18.1,No,0,No,2011,9,244
2.7,16.1,0,3.4,NA,NE,31,SSE,NNE,19,13,56,39,1031,1027.9,1,NA,9.1,15.1,No,0,No,2011,9,245
-3.8,19,0,NA,9.4,NA,NA,NW,NNW,6,19,74,18,1030.5,1025.9,NA,1,7.2,18.6,No,0,No,2011,9,246
-0.7,20,0,2.8,6.7,NNW,41,WSW,NW,2,24,78,43,1027.6,1024.8,5,6,9,18,No,1.2,Yes,2011,9,247
7.5,20,1.2,2.8,5.2,NA,NA,NA,NW,0,30,83,40,1027.6,1024,6,3,12.7,18,Yes,NA,NA,2011,9,248
-0.5,14.3,7,1.8,9.4,NW,28,NW,WNW,9,11,81,38,1021,1018.6,6,1,6.6,14,Yes,NA,NA,2011,9,250
2.5,14.4,0,2.6,3.5,NA,NA,W,SSW,9,31,78,71,1010.1,1007.9,7,7,8.5,7.3,No,0.4,No,2011,9,252
-5.2,14,0.4,2.6,8.5,WSW,63,NW,W,22,41,60,36,1011.9,1010.6,1,4,7.1,12.3,No,0,No,2011,9,253
-1.4,14.8,0,3.4,8.5,WNW,50,WNW,WNW,19,30,62,40,1013.4,1011.2,1,2,9.8,13.8,No,1,No,2011,9,254
-3.1,15,1,3.8,10.2,NA,NA,SW,NNW,6,30,63,36,1024.8,1022.5,1,NA,7.1,13.5,No,0,No,2011,9,255
-3.4,14.8,0,4,9,NW,52,NW,NW,28,30,58,40,1025.3,1022.1,1,NA,9.6,13.2,No,0,No,2011,9,256
-2.1,20.6,0,3.6,9.6,WNW,56,NNW,WNW,19,28,47,28,1022.2,1019.2,0,5,12,19,No,0,No,2011,9,257
1.6,17.7,0,5.4,11,NA,NA,NW,WNW,7,30,59,29,1022.2,1018.5,1,NA,11.8,17,No,NA,NA,2011,9,258
0.7,24.1,0,5,10,NW,43,NW,NW,6,24,57,27,1018.4,1014.8,0,NA,12.6,21.9,No,0,No,2011,9,260
5.4,25.8,0,6,11.1,NA,NA,N,NW,20,24,21,13,1016,1015.7,1,NA,18.9,24.3,No,0,No,2011,9,261
4.1,27.1,0,6.6,10.1,NW,54,SE,NW,6,26,70,21,1019.6,1011.8,0,1,13.8,26.6,No,0,No,2011,9,262
12.8,16.6,0,9.2,6,N,67,NW,WNW,35,28,54,73,1007.4,1009.5,5,5,14.5,11,No,0.8,No,2011,9,263
3.9,19.6,0.8,5.2,11.4,NA,NA,NW,NW,17,28,51,41,1020.9,1018.5,0,1,11.8,17.4,No,0,No,2011,9,264
-2.8,22,0,4.2,10,NW,35,SSW,NW,7,22,62,19,1024.9,1018.8,0,NA,9.4,20.1,No,0,No,2011,9,265
1.4,25.3,0,5.6,11.4,NW,59,NNW,NW,24,33,27,15,1016.3,1015.6,0,NA,19.1,23.6,No,0,No,2011,9,266
8.2,15.1,0,8,2.5,NA,NA,ENE,ESE,11,19,74,70,1021.7,1018.2,6,5,11,12.7,No,9.4,Yes,2011,9,267
5.4,13.9,9.4,2.8,7.5,ESE,54,SE,SE,20,24,66,51,1023,1022.6,7,7,9.6,11.5,Yes,0,No,2011,9,268
-0.3,17.3,0,2.8,7.6,ENE,31,ENE,NE,19,15,47,37,1026.3,1021.5,2,3,11.7,15.7,No,0,No,2011,9,269
-0.6,20.1,0,NA,8.6,NA,NA,WNW,NA,4,NA,74,31,1022.6,1017,6,NA,9.9,19.7,No,0.2,No,2011,9,270
4.9,15.1,0.2,3.2,0,NNW,56,SE,WNW,7,2,80,86,1014.3,1008.2,8,8,12.4,14.3,No,10.2,Yes,2011,9,271
9.8,12.6,10.2,2.4,5,NW,83,NW,WNW,54,33,86,67,996.8,995.7,7,8,9.8,9.9,Yes,2.4,Yes,2011,9,272
6.6,13.6,2.4,5.2,7.5,NA,NA,WNW,WNW,30,22,59,51,1004.9,1003.8,5,5,8.5,11.6,Yes,0.6,No,2011,9,273
0.2,14,0.6,3,1.8,ESE,44,NA,E,0,20,87,42,1006.8,1005.5,8,8,7,13.5,No,1,No,2011,10,274
1.9,14.7,1,1.6,2.8,S,52,SSE,S,26,19,58,64,1016.5,1017.6,4,6,10.3,11.7,No,2.8,Yes,2011,10,275
-0.5,17.2,2.8,1.6,10.2,NA,NA,S,SW,20,11,72,36,1023.9,1021.1,1,NA,7.7,15.7,Yes,0.2,No,2011,10,276
1,19.3,0.2,5,10.4,ENE,39,SE,NW,7,9,72,30,1025.5,1021.1,1,1,8.1,18.1,No,0,No,2011,10,277
-0.1,18.5,0,4.2,6.8,NW,28,S,NW,6,15,80,44,1022.2,1016.7,7,5,8.6,17.2,No,0,No,2011,10,278
10.5,17,6.2,1.2,1.7,NA,NA,NNE,WNW,2,13,91,70,1012.9,1010.4,8,7,12.3,16.4,Yes,1.2,Yes,2011,10,280
8.5,20.9,1.2,0.8,5.9,WSW,37,SSE,WSW,11,20,82,71,1012.2,1009.1,7,6,12.4,16.5,Yes,0.6,No,2011,10,281
5.3,17,0.6,4.2,6.7,NA,NA,NNW,W,19,33,80,48,1008.1,1006.4,5,4,13.5,15.9,No,0.4,No,2011,10,282
5.4,16,0.4,4.4,7.7,WNW,52,WNW,W,17,28,57,35,1008.8,1007.2,2,7,10.4,14.1,No,0,No,2011,10,283
3.9,17.5,0,5.6,7,NA,NA,WNW,WNW,24,35,55,32,1010.8,1009.2,6,NA,10.1,16.1,No,0,No,2011,10,284
-1.7,19.8,0,4.8,10.5,NA,NA,SE,NE,4,9,73,29,1017.8,1015.7,1,1,8,17.9,No,0,No,2011,10,285
7.7,20.8,0,4.8,9.3,NA,NA,E,N,9,11,68,39,1022.7,1019.2,6,5,11.8,19.5,No,0,No,2011,10,286
8.2,20.8,0,4.6,5.1,NE,37,E,NNE,11,13,70,50,1019.8,1014.9,7,4,13,20.5,No,0,No,2011,10,287
12.6,23.9,0,2.6,7,NA,NA,S,NW,9,31,79,48,1012,1008.5,7,4,15.4,23.5,No,0,No,2011,10,288
6.9,19.9,0,6,11.3,WNW,56,NW,WNW,26,35,53,26,1014.2,1016,1,NA,14,18.6,No,0,No,2011,10,289
1,21,0,7.2,12.4,ENE,41,ESE,NNE,13,7,53,15,1031.5,1029.5,0,NA,10.1,19.4,No,0,No,2011,10,290
1.4,22.1,0,6.2,11.5,NA,NA,SW,N,7,13,70,24,1034.8,1030,1,1,10.4,20.7,No,0,No,2011,10,291
3.4,25.5,0,4.4,12,NW,30,SW,NW,4,20,67,20,1031.4,1026.6,0,NA,13.3,24.7,No,0,No,2011,10,292
4.4,26.5,0,6,12.5,NW,41,NW,NW,4,24,50,26,1028,1023.4,0,2,14.9,24.9,No,0,No,2011,10,293
5.2,27.6,0,6.2,12.1,NA,NA,NNW,NW,6,19,52,25,1026.1,1022.7,3,4,16.5,26.3,No,0,No,2011,10,294
7.1,26.8,0,NA,5,W,35,SE,W,6,20,69,23,1025.6,1022.4,8,7,14.8,25.9,No,0,No,2011,10,295
8.4,29.3,0,4.8,11.6,NNW,41,W,NW,4,26,67,23,1022.8,1017.9,1,3,18.3,27.7,No,0,No,2011,10,296
9.5,30,0,7.2,9.2,NA,NA,NW,NW,17,41,47,23,1014.8,1008.8,5,4,20.8,28.9,No,4.4,Yes,2011,10,297
11.1,13.9,4.4,8.4,3.5,E,33,S,SE,13,17,95,87,1012.9,1015.1,8,8,11.3,12.2,Yes,4,Yes,2011,10,298
8.1,13.9,4,0.4,0,NA,NA,ESE,SE,22,17,69,54,1023.2,1022.1,8,8,9.8,13.4,Yes,0,No,2011,10,299
7.3,18.8,0,0.7,3.4,ENE,31,NE,E,13,20,65,51,1024.3,1021.1,8,8,12.1,17.5,No,0,No,2011,10,300
10,24.5,0,4.2,4.3,NW,31,WSW,W,9,19,73,54,1019.2,1014.7,4,1,13.7,22.1,No,0.6,No,2011,10,301
12.7,24.1,0.6,5.5,NA,W,52,NNW,WNW,22,20,91,61,1012,1010.1,5,8,17.2,22.3,No,3.2,Yes,2011,10,302
6.8,20.6,3.2,NA,NA,NA,NA,NNW,WNW,19,41,62,36,1013.4,1012.7,NA,NA,15.4,18.2,Yes,0,No,2011,10,303
2.3,23.2,0,NA,NA,E,39,S,SE,28,9,54,33,1021.6,1018.2,NA,2,12.5,21.6,No,0,No,2011,10,304
8,24.9,0,NA,11.5,NW,44,SSW,N,13,20,57,45,1019.3,1013.7,1,2,13,20.6,No,0,No,2011,11,305
7.6,22.4,0,5.8,6.4,NA,NA,N,WNW,6,24,59,43,1011.3,1008.6,6,7,14.5,20,No,0,No,2011,11,306
11.2,21.9,0,3.2,6.1,NA,NA,SE,WNW,7,17,76,35,1011.8,1010.3,6,5,13.6,21,No,0,No,2011,11,307
4.7,25.8,0,4.4,11.6,ENE,43,SSE,NNW,9,11,60,22,1018.5,1015.3,2,2,13.9,24.1,No,0,No,2011,11,308
4.5,29.6,0,5.6,11,NA,NA,SW,NW,9,22,72,22,1018.2,1013.4,1,1,14.8,28.9,No,0,No,2011,11,309
10.1,30.5,0,6.6,9,NNW,57,NNW,NW,7,33,47,33,1013.5,1010.1,3,7,22.1,27.3,No,0,No,2011,11,310
15.6,29.1,0,6,8.6,NA,NA,NNW,NNW,17,31,75,39,1014.2,1011.8,7,4,19.6,27.5,No,0.6,No,2011,11,311
13.5,28.8,0.6,5.6,3.8,NA,NA,SW,N,4,17,74,84,1014.4,1012.1,6,8,21.5,20.3,No,14.6,Yes,2011,11,312
13.9,29.1,14.6,3.4,8.8,NNW,56,SW,NW,6,13,90,51,1015.2,1011.6,7,4,18.3,27.3,Yes,9,Yes,2011,11,313
15.4,22,9,6.4,9,W,67,NNW,WNW,35,33,88,34,1009.1,1013.2,8,NA,16.1,21.1,Yes,1.2,Yes,2011,11,314
5.3,23.6,1.2,5.8,10.7,NA,NA,NW,NW,7,9,74,36,1023.9,1020.6,1,1,15,22.1,Yes,0,No,2011,11,315
9.4,26.7,0,3.6,10.3,ESE,54,ESE,N,4,19,82,34,1019.4,1014.9,6,3,15,25.2,No,0,No,2011,11,316
